estrato,region,r1a,r1a_esp,r1a_esp_cod,s13,s13_fonasa
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,3.0
1630324,16,1,,,1,1.0
1630324,16,1,,,1,-88.0
1630324,16,1,,,1,1.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,1.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,2.0
1630324,16,1,,,1,4.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,3.0
830126,8,1,,,1,3.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,-88.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,3.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
1311112,13,3,Perú,509.0,1,2.0
1311112,13,3,Perú,509.0,1,-88.0
1311112,13,3,Perú,509.0,1,-88.0
1311112,13,3,Perú,509.0,1,2.0
1311112,13,3,Perú,509.0,1,2.0
1311112,13,1,,,-88,
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,4.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,-88.0
1311112,13,1,,,1,4.0
1320112,13,1,,,1,1.0
1320112,13,1,,,2,
1320112,13,1,,,2,
1320112,13,1,,,2,
1320112,13,1,,,1,1.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,3.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,4.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
1320112,13,1,,,2,
1320112,13,1,,,1,4.0
1320112,13,1,,,2,
1320112,13,1,,,2,
1320112,13,1,,,1,3.0
1320112,13,1,,,1,-88.0
1320112,13,1,,,1,1.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,2.0
110112,1,1,,,1,4.0
110112,1,1,,,1,4.0
110112,1,1,,,1,3.0
110112,1,1,,,1,1.0
110112,1,3,Perú,509.0,1,1.0
110112,1,3,Perú,509.0,1,1.0
110112,1,3,Perú,509.0,1,1.0
110112,1,3,Perú,509.0,1,1.0
110112,1,1,,,1,1.0
110112,1,1,,,1,1.0
110112,1,3,Bolivia,502.0,1,1.0
110112,1,1,,,1,1.0
110112,1,3,Perú,509.0,1,1.0
110112,1,3,Perú,509.0,1,3.0
110112,1,1,,,1,1.0
110112,1,1,,,1,3.0
110112,1,1,,,1,1.0
110112,1,3,Venezuela,513.0,1,2.0
110112,1,3,Venezuela,513.0,1,2.0
110112,1,1,,,1,4.0
110112,1,3,Colombia,505.0,1,1.0
110112,1,3,Perú,509.0,1,1.0
110112,1,3,Ecuador,506.0,1,1.0
110112,1,3,Perú,509.0,1,2.0
110112,1,3,Perú,509.0,1,2.0
110112,1,3,Perú,509.0,1,2.0
110112,1,1,,,1,2.0
811012,8,1,,,3,
811012,8,1,,,3,
811012,8,1,,,1,2.0
811012,8,1,,,1,2.0
811012,8,1,,,1,2.0
811012,8,1,,,1,2.0
811012,8,1,,,1,1.0
811012,8,1,,,1,4.0
811012,8,1,,,1,2.0
811012,8,1,,,3,
811012,8,1,,,1,1.0
811012,8,1,,,1,3.0
811012,8,1,,,1,3.0
811012,8,1,,,3,
811012,8,1,,,3,
811012,8,1,,,1,2.0
811012,8,1,,,2,
811012,8,1,,,3,
811012,8,1,,,1,2.0
811012,8,1,,,1,2.0
811012,8,1,,,3,
811012,8,1,,,3,
811012,8,1,,,1,3.0
811012,8,1,,,1,1.0
811012,8,1,,,1,1.0
811012,8,1,,,1,3.0
811012,8,1,,,1,3.0
811012,8,1,,,1,3.0
811012,8,1,,,1,4.0
811012,8,1,,,1,2.0
811012,8,1,,,1,3.0
811012,8,1,,,1,3.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,4,
1420424,14,1,,,1,2.0
1420424,14,1,,,1,2.0
1420424,14,1,,,1,1.0
1420424,14,1,,,1,1.0
1420424,14,1,,,1,1.0
1420424,14,1,,,1,2.0
1420424,14,1,,,2,
1420424,14,1,,,2,
1420424,14,1,,,1,2.0
1420424,14,1,,,2,
610111,6,1,,,1,3.0
610111,6,1,,,1,2.0
610111,6,1,,,1,3.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,-88.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,3,Venezuela,513.0,4,
610111,6,3,Venezuela,513.0,4,
610111,6,3,Haití,413.0,1,1.0
610111,6,3,Haití,413.0,1,-88.0
610111,6,1,,,1,-88.0
610111,6,1,,,1,-88.0
610111,6,1,,,1,-88.0
610111,6,3,Haití,413.0,1,-88.0
610111,6,3,Haití,413.0,-88,
610111,6,3,Haití,413.0,1,-88.0
610111,6,1,,,1,2.0
610111,6,1,,,2,
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
610111,6,1,,,1,1.0
910112,9,1,,,1,2.0
910112,9,1,,,4,
910112,9,1,,,1,1.0
910112,9,1,,,1,2.0
910112,9,1,,,1,2.0
910112,9,1,,,1,2.0
910112,9,1,,,1,2.0
910112,9,1,,,1,2.0
910112,9,1,,,1,1.0
910112,9,1,,,1,1.0
910112,9,1,,,1,3.0
810112,8,1,,,1,4.0
810112,8,1,,,1,4.0
810112,8,1,,,1,2.0
810112,8,1,,,3,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,1,2.0
1360126,13,1,,,1,4.0
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,3,
1360126,13,1,,,3,
1360126,13,1,,,1,4.0
1360126,13,1,,,1,2.0
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,1,2.0
1360126,13,1,,,1,-88.0
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,2,
1360126,13,1,,,1,2.0
1311913,13,1,,,1,1.0
1311913,13,2,,,1,1.0
1311913,13,1,,,1,4.0
1311913,13,1,,,1,4.0
1311913,13,1,,,1,2.0
1311913,13,1,,,1,1.0
1311913,13,1,,,1,2.0
1311913,13,1,,,3,
1311913,13,1,,,1,2.0
1311913,13,1,,,3,
1311913,13,1,,,2,
1311913,13,1,,,2,
1311913,13,1,,,2,
1311913,13,1,,,1,1.0
1311417,13,1,,,2,
1311417,13,1,,,2,
1410714,14,1,,,1,1.0
1410714,14,1,,,1,1.0
1410714,14,1,,,1,3.0
1410714,14,1,,,1,1.0
1410714,14,1,,,1,1.0
1410714,14,1,,,1,3.0
1410714,14,1,,,1,2.0
1410714,14,1,,,1,2.0
1410714,14,1,,,1,2.0
1410714,14,1,,,1,2.0
1410714,14,1,,,1,2.0
1410714,14,1,,,1,2.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,3.0
820114,8,1,,,1,-88.0
820114,8,1,,,1,-88.0
820114,8,1,,,1,-88.0
820114,8,1,,,1,3.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,2.0
820114,8,1,,,1,4.0
820114,8,1,,,1,4.0
820114,8,1,,,1,3.0
820114,8,1,,,1,3.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
820114,8,1,,,1,1.0
550113,5,1,,,1,2.0
550113,5,1,,,1,2.0
550113,5,1,,,1,2.0
550113,5,1,,,1,4.0
550113,5,1,,,1,4.0
550113,5,3,Venezuela,513.0,4,
550113,5,3,Venezuela,513.0,4,
550113,5,3,Venezuela,513.0,1,1.0
550113,5,3,Venezuela,513.0,1,1.0
550113,5,3,Venezuela,513.0,1,1.0
550113,5,3,Venezuela,513.0,1,1.0
550113,5,3,Venezuela,513.0,1,1.0
550113,5,3,Venezuela,513.0,4,
550113,5,3,Venezuela,513.0,1,1.0
550113,5,3,Venezuela,513.0,4,
1010112,10,1,,,1,4.0
1010112,10,1,,,1,2.0
1010112,10,1,,,1,3.0
1010112,10,1,,,1,4.0
1010112,10,1,,,1,3.0
1010112,10,3,Colombia,505.0,1,2.0
1010112,10,3,Venezuela,513.0,1,2.0
1010112,10,1,,,1,2.0
1010112,10,1,,,1,2.0
1010112,10,1,,,2,
1010112,10,1,,,2,
1010112,10,1,,,1,1.0
1010112,10,1,,,1,2.0
1010112,10,1,,,1,2.0
1010112,10,1,,,1,2.0
510112,5,1,,,1,-88.0
510112,5,1,,,1,3.0
510112,5,2,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
510112,5,1,,,1,2.0
510112,5,1,,,1,2.0
510112,5,1,,,1,4.0
510112,5,1,,,1,4.0
510112,5,1,,,1,1.0
510112,5,1,,,1,2.0
510112,5,1,,,1,2.0
510112,5,3,Brasil,503.0,1,2.0
510112,5,3,Brasil,503.0,1,1.0
510112,5,1,,,1,3.0
510112,5,1,,,1,1.0
510112,5,1,,,1,4.0
510112,5,1,,,3,
510112,5,1,,,1,1.0
510112,5,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,1.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,4.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,3.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,2,
1310711,13,1,,,-88,
1310711,13,1,,,-88,
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,3.0
1310711,13,1,,,1,2.0
1310711,13,1,,,1,3.0
1310711,13,1,,,1,2.0
1310711,13,2,,,1,3.0
110113,1,1,,,1,-88.0
110113,1,1,,,1,-88.0
110113,1,1,,,1,-88.0
110113,1,1,,,3,
110113,1,1,,,3,
110113,1,1,,,3,
430314,4,1,,,1,-88.0
430314,4,1,,,1,-88.0
430314,4,1,,,4,
430314,4,1,,,1,3.0
430314,4,1,,,1,2.0
430314,4,1,,,1,3.0
430314,4,1,,,1,3.0
430314,4,1,,,1,2.0
430314,4,1,,,1,2.0
430314,4,1,,,1,2.0
430314,4,1,,,1,2.0
430314,4,1,,,1,2.0
430314,4,1,,,1,1.0
430314,4,1,,,1,-88.0
430314,4,1,,,1,3.0
430314,4,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,3.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,3.0
830126,8,1,,,1,4.0
830126,8,1,,,1,2.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,4.0
830126,8,1,,,1,4.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,1.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,1,2.0
830126,8,1,,,2,
830126,8,1,,,2,
830126,8,1,,,1,2.0
830126,8,1,,,2,
830126,8,1,,,2,
1330227,13,1,,,1,-88.0
1330227,13,1,,,1,-88.0
1330227,13,1,,,1,-88.0
1330227,13,1,,,1,-88.0
1330227,13,1,,,1,1.0
1330227,13,1,,,1,3.0
1330227,13,1,,,1,2.0
1330227,13,1,,,1,1.0
1330227,13,1,,,1,2.0
1330227,13,1,,,2,
1330227,13,1,,,1,4.0
1330227,13,1,,,1,4.0
1330227,13,1,,,1,4.0
1330227,13,1,,,1,2.0
1330227,13,1,,,1,2.0
1330227,13,1,,,1,1.0
1330227,13,1,,,1,2.0
1330227,13,1,,,1,2.0
1330227,13,1,,,1,1.0
1330227,13,1,,,1,1.0
1330227,13,1,,,1,3.0
1330227,13,1,,,4,
1330227,13,1,,,1,3.0
1330227,13,1,,,1,3.0
1330227,13,1,,,4,
1330227,13,1,,,4,
1330227,13,1,,,4,
1330227,13,2,,,2,
1330227,13,2,,,2,
1330227,13,1,,,1,2.0
1330227,13,1,,,1,1.0
570112,5,1,,,1,4.0
570112,5,1,,,1,4.0
570112,5,1,,,1,4.0
570112,5,1,,,1,2.0
570112,5,1,,,1,-88.0
570112,5,1,,,3,
570112,5,1,,,1,4.0
570112,5,1,,,1,4.0
570112,5,1,,,1,2.0
570112,5,1,,,1,1.0
570112,5,1,,,1,1.0
570112,5,1,,,1,2.0
570112,5,1,,,1,2.0
610112,6,1,,,2,
610112,6,1,,,2,
610112,6,1,,,1,3.0
610112,6,1,,,1,3.0
610112,6,1,,,1,3.0
610112,6,1,,,2,
610112,6,1,,,2,
610112,6,1,,,2,
610112,6,1,,,4,
610112,6,1,,,2,
610112,6,1,,,2,
610112,6,1,,,2,
610112,6,1,,,1,2.0
610112,6,1,,,1,4.0
610112,6,1,,,1,2.0
610112,6,1,,,2,
610112,6,1,,,1,2.0
610112,6,1,,,1,3.0
610112,6,1,,,1,1.0
610112,6,1,,,1,1.0
610112,6,1,,,1,1.0
610112,6,1,,,1,1.0
610112,6,1,,,1,2.0
610112,6,1,,,1,1.0
1310116,13,3,Colombia,505.0,4,
1310116,13,3,Colombia,505.0,4,
1310116,13,3,Colombia,505.0,4,
1310116,13,1,,,1,4.0
1310116,13,3,Venezuela,513.0,1,2.0
1310116,13,3,Venezuela,513.0,1,2.0
1310116,13,3,Venezuela,513.0,1,2.0
1310116,13,3,Venezuela,513.0,1,4.0
1310116,13,3,Venezuela,513.0,1,4.0
1010111,10,1,,,1,2.0
1010111,10,1,,,1,3.0
1010111,10,1,,,1,2.0
1010111,10,1,,,4,
1010111,10,1,,,1,2.0
1010111,10,1,,,1,3.0
1010111,10,1,,,1,3.0
1010111,10,1,,,1,3.0
1010111,10,1,,,1,1.0
1010111,10,1,,,1,2.0
1010111,10,1,,,1,2.0
1312017,13,1,,,2,
1312017,13,1,,,1,3.0
1312017,13,1,,,2,
1312017,13,1,,,2,
1312017,13,1,,,1,2.0
1312017,13,1,,,1,3.0
1312017,13,1,,,1,2.0
1312017,13,1,,,1,2.0
1312017,13,1,,,1,4.0
1312017,13,1,,,1,1.0
1312017,13,3,Perú,509.0,1,2.0
1312017,13,1,,,1,1.0
1312017,13,1,,,1,1.0
1312017,13,1,,,2,
1312017,13,1,,,1,3.0
510912,5,1,,,1,3.0
510912,5,1,,,1,1.0
510912,5,1,,,1,1.0
510912,5,1,,,1,2.0
510912,5,1,,,1,4.0
510912,5,1,,,1,2.0
510912,5,1,,,1,4.0
510912,5,1,,,1,2.0
510912,5,1,,,1,2.0
510912,5,1,,,1,1.0
510912,5,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,1.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,2.0
1020116,10,1,,,1,1.0
810217,8,1,,,1,2.0
810217,8,1,,,1,4.0
810217,8,1,,,1,2.0
810217,8,1,,,1,1.0
810217,8,1,,,1,4.0
810217,8,1,,,1,2.0
810217,8,1,,,1,3.0
810217,8,1,,,1,3.0
810217,8,1,,,1,3.0
810217,8,1,,,1,2.0
810217,8,1,,,1,2.0
810217,8,1,,,1,4.0
810217,8,1,,,1,4.0
810217,8,1,,,1,-88.0
810217,8,1,,,1,-88.0
810217,8,1,,,1,4.0
810217,8,1,,,1,4.0
810217,8,1,,,1,4.0
810217,8,1,,,1,3.0
810217,8,1,,,1,3.0
810217,8,1,,,1,3.0
810217,8,1,,,1,3.0
740617,7,1,,,1,4.0
740617,7,3,Venezuela,513.0,1,4.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,1.0
740617,7,1,,,1,1.0
740617,7,1,,,1,1.0
740617,7,1,,,1,2.0
740617,7,1,,,1,1.0
740617,7,1,,,1,2.0
740617,7,1,,,1,-88.0
740617,7,1,,,1,2.0
740617,7,1,,,1,3.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,2.0
740617,7,1,,,1,3.0
1320112,13,1,,,2,
1320112,13,1,,,1,3.0
1320112,13,1,,,1,3.0
1320112,13,1,,,1,3.0
1320112,13,1,,,1,-88.0
1320112,13,1,,,1,-88.0
1320112,13,1,,,1,2.0
1320112,13,1,,,1,4.0
1320112,13,1,,,1,4.0
1320112,13,1,,,4,
1320112,13,1,,,1,1.0
1320112,13,1,,,1,1.0
1320112,13,1,,,1,1.0
1320112,13,1,,,1,4.0
1320112,13,1,,,1,4.0
1320112,13,1,,,1,4.0
1320112,13,1,,,1,4.0
1610914,16,1,,,1,3.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,2.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,3.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,2.0
1610914,16,1,,,1,2.0
1610914,16,1,,,1,2.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,4.0
1610914,16,1,,,1,4.0
1610914,16,1,,,3,
1610914,16,1,,,1,4.0
1610914,16,1,,,1,3.0
1610914,16,1,,,1,1.0
1610914,16,1,,,1,3.0
1610914,16,1,,,1,3.0
1610914,16,1,,,1,-88.0
1610914,16,1,,,1,-88.0
1610914,16,1,,,1,-88.0
1610914,16,1,,,1,-88.0
730112,7,1,,,1,2.0
730112,7,1,,,1,1.0
730112,7,1,,,1,2.0
730112,7,1,,,1,2.0
730112,7,1,,,1,1.0
730112,7,1,,,1,2.0
730112,7,1,,,2,
730112,7,1,,,2,
730112,7,1,,,1,-88.0
730112,7,1,,,2,
730112,7,1,,,2,
730112,7,1,,,1,2.0
730112,7,1,,,1,2.0
730112,7,1,,,1,3.0
730112,7,1,,,1,3.0
730112,7,1,,,1,3.0
730112,7,1,,,1,4.0
730112,7,1,,,1,2.0
730112,7,1,,,1,3.0
730112,7,1,,,1,2.0
730112,7,1,,,1,3.0
730112,7,1,,,1,3.0
730112,7,1,,,1,3.0
730112,7,1,,,1,2.0
730112,7,1,,,1,2.0
730112,7,1,,,1,2.0
730112,7,1,,,1,2.0
730112,7,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,4.0
110711,1,1,,,1,1.0
110711,1,1,,,1,1.0
110711,1,1,,,1,1.0
110711,1,3,Bolivia,502.0,1,1.0
110711,1,3,Bolivia,502.0,1,1.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,1.0
110711,1,1,,,1,4.0
110711,1,1,,,1,1.0
110711,1,1,,,1,1.0
110711,1,1,,,1,1.0
110711,1,1,,,1,1.0
110711,1,1,,,1,1.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
110711,1,1,,,1,2.0
1310813,13,1,,,2,
1310813,13,1,,,1,2.0
1310813,13,1,,,2,
1310813,13,3,España,117.0,1,2.0
1310813,13,1,,,1,3.0
1310813,13,1,,,1,3.0
1310813,13,1,,,1,2.0
1310813,13,1,,,1,4.0
1310813,13,1,,,1,4.0
1310813,13,1,,,1,4.0
1310813,13,1,,,1,4.0
611324,6,1,,,1,2.0
611324,6,1,,,1,2.0
611324,6,1,,,1,3.0
611324,6,1,,,1,3.0
611324,6,1,,,1,1.0
611324,6,1,,,1,1.0
611324,6,1,,,2,
611324,6,1,,,2,
611324,6,1,,,2,
611324,6,1,,,1,3.0
611324,6,1,,,1,3.0
611324,6,1,,,1,2.0
611324,6,1,,,1,2.0
611324,6,1,,,1,2.0
611324,6,1,,,1,3.0
611324,6,1,,,1,3.0
611324,6,1,,,1,3.0
611324,6,1,,,1,3.0
611324,6,1,,,1,1.0
611324,6,1,,,1,1.0
611324,6,1,,,1,1.0
611324,6,3,Bolivia,502.0,1,2.0
611324,6,3,Bolivia,502.0,1,2.0
611324,6,3,Bolivia,502.0,1,2.0
611324,6,3,Bolivia,502.0,1,2.0
611324,6,1,,,1,3.0
611324,6,1,,,1,3.0
611324,6,1,,,1,2.0
611324,6,1,,,1,2.0
560314,5,1,,,1,1.0
560314,5,1,,,1,1.0
560314,5,1,,,1,1.0
560314,5,1,,,1,1.0
560314,5,1,,,1,-88.0
560314,5,1,,,1,2.0
560314,5,1,,,1,2.0
560314,5,1,,,1,2.0
560314,5,1,,,1,2.0
560314,5,1,,,1,-88.0
560314,5,1,,,1,2.0
560314,5,1,,,1,2.0
560314,5,1,,,1,-88.0
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,1,2.0
1010113,10,1,,,1,2.0
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,2,
1010113,10,1,,,2,
1340212,13,1,,,1,-88.0
1340212,13,1,,,1,3.0
1340212,13,1,,,1,3.0
1340212,13,1,,,2,
1340212,13,1,,,2,
1340212,13,1,,,2,
1340212,13,1,,,1,2.0
1340212,13,1,,,1,2.0
1340212,13,1,,,1,2.0
1340212,13,1,,,1,2.0
1340212,13,1,,,2,
1340212,13,1,,,1,4.0
1340212,13,1,,,2,
1340212,13,2,,,1,4.0
1510113,15,1,,,2,
1510113,15,1,,,1,2.0
1510113,15,1,,,2,
1510113,15,1,,,3,
1510113,15,1,,,1,2.0
1510113,15,1,,,3,
1510113,15,1,,,1,2.0
1510113,15,1,,,1,2.0
1510113,15,1,,,1,2.0
1510113,15,1,,,2,
1510113,15,1,,,2,
1510113,15,1,,,2,
1510113,15,1,,,1,2.0
1510113,15,1,,,1,2.0
1510113,15,1,,,1,2.0
1510113,15,1,,,1,2.0
1510113,15,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,3.0
811117,8,1,,,1,3.0
811117,8,1,,,1,-88.0
811117,8,1,,,1,1.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
811117,8,1,,,1,-88.0
811117,8,1,,,1,-88.0
811117,8,1,,,1,-88.0
811117,8,1,,,1,2.0
811117,8,1,,,1,2.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,1.0
220112,2,1,,,1,1.0
220112,2,1,,,1,1.0
220112,2,3,Bolivia,502.0,1,4.0
220112,2,3,Bolivia,502.0,1,4.0
220112,2,3,Bolivia,502.0,1,2.0
220112,2,1,,,1,4.0
220112,2,1,,,1,1.0
220112,2,1,,,1,1.0
220112,2,1,,,1,1.0
220112,2,1,,,1,1.0
220112,2,1,,,1,4.0
220112,2,1,,,2,
220112,2,1,,,1,4.0
220112,2,1,,,1,4.0
220112,2,1,,,2,
220112,2,1,,,1,-88.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,3.0
220112,2,1,,,1,-88.0
220112,2,1,,,1,3.0
220112,2,1,,,1,1.0
220112,2,1,,,1,3.0
740714,7,1,,,2,
740714,7,1,,,1,2.0
740714,7,1,,,1,2.0
740714,7,1,,,2,
740714,7,1,,,1,2.0
740714,7,1,,,1,2.0
740714,7,1,,,1,1.0
740714,7,1,,,1,3.0
740714,7,1,,,1,1.0
740714,7,1,,,1,1.0
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,1,2.0
220112,2,1,,,1,2.0
220112,2,1,,,1,2.0
220112,2,1,,,2,
220112,2,1,,,2,
220112,2,1,,,1,1.0
220112,2,1,,,1,4.0
220112,2,1,,,1,4.0
830521,8,1,,,1,2.0
830521,8,1,,,1,2.0
830521,8,1,,,1,1.0
830521,8,1,,,1,1.0
830521,8,1,,,1,1.0
830521,8,1,,,3,
830521,8,1,,,3,
830521,8,1,,,1,2.0
830521,8,1,,,1,2.0
830521,8,1,,,1,2.0
830521,8,1,,,1,2.0
830521,8,1,,,1,1.0
830521,8,1,,,1,1.0
830521,8,1,,,1,4.0
830521,8,1,,,1,1.0
830521,8,1,,,1,1.0
830521,8,1,,,1,1.0
830521,8,1,,,1,1.0
610112,6,3,Venezuela,513.0,1,2.0
610112,6,2,,,1,3.0
610112,6,1,,,1,2.0
610112,6,2,,,1,1.0
610112,6,3,Perú,509.0,1,1.0
610112,6,1,,,1,2.0
610112,6,1,,,1,1.0
610112,6,1,,,1,2.0
610112,6,1,,,1,3.0
610112,6,1,,,1,2.0
610112,6,1,,,1,2.0
610112,6,1,,,1,3.0
610112,6,1,,,1,4.0
610112,6,1,,,1,4.0
1410113,14,1,,,1,4.0
1410113,14,1,,,1,4.0
1410113,14,1,,,1,4.0
1410113,14,1,,,1,4.0
1410113,14,1,,,1,3.0
1410113,14,1,,,1,3.0
1410113,14,1,,,1,3.0
1312513,13,1,,,2,
1312513,13,1,,,2,
1312513,13,1,,,2,
510913,5,1,,,1,3.0
510913,5,1,,,2,
510913,5,1,,,1,3.0
